,raw_predictions,correctly_predicted,ground_truths
0,<S2SV_ModStart> ( unsigned int ) gsm -> len == 0 ) gsm -> state = GSM_DATA ; break ; <S2SV_ModEnd>,0,<S2SV_ModStart> >= MAX_MRU ) { gsm -> bad_size ++ ; gsm -> state = GSM_SEARCH ; } else if ( gsm -> count >= gsm -> len ) { gsm -> state = GSM_FCS ; } <S2SV_ModEnd>
1,<S2SV_ModStart> ( unsigned int ) c ; <S2SV_ModEnd>,0,<S2SV_ModStart> >= MAX_MRU ) { gsm -> bad_size ++ ; gsm -> state = GSM_SEARCH ; } else if ( gsm -> count >= gsm -> len ) { gsm -> state = GSM_FCS ; } <S2SV_ModEnd>
2,<S2SV_ModStart> ( unsigned int ) gsm -> len == 0 ) gsm -> state = GSM_DATA ; <S2SV_ModEnd>,0,<S2SV_ModStart> >= MAX_MRU ) { gsm -> bad_size ++ ; gsm -> state = GSM_SEARCH ; } else if ( gsm -> count >= gsm -> len ) { gsm -> state = GSM_FCS ; } <S2SV_ModEnd>
3,<S2SV_ModStart> ( unsigned int ) gsm -> len == 0 ) gsm -> state = GSM_SOF ; <S2SV_ModEnd>,0,<S2SV_ModStart> >= MAX_MRU ) { gsm -> bad_size ++ ; gsm -> state = GSM_SEARCH ; } else if ( gsm -> count >= gsm -> len ) { gsm -> state = GSM_FCS ; } <S2SV_ModEnd>
4,<S2SV_ModStart> ( unsigned int ) gsm -> len == 0 ) { gsm -> state = GSM_DATA ; break ; } <S2SV_ModEnd>,0,<S2SV_ModStart> >= MAX_MRU ) { gsm -> bad_size ++ ; gsm -> state = GSM_SEARCH ; } else if ( gsm -> count >= gsm -> len ) { gsm -> state = GSM_FCS ; } <S2SV_ModEnd>
5,<S2SV_ModStart> ; <S2SV_ModEnd>,0,"<S2SV_ModStart> ; qeth_free_cq ( card ) ; if ( atomic_xchg ( & card -> qdio. state, QETH_QDIO_UNINITIALIZED ) == QETH_QDIO_UNINITIALIZED ) return ; <S2SV_ModEnd>"
6,<S2SV_ModStart> if ( card == NULL ) { return ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> ; qeth_free_cq ( card ) ; if ( atomic_xchg ( & card -> qdio. state, QETH_QDIO_UNINITIALIZED ) == QETH_QDIO_UNINITIALIZED ) return ; <S2SV_ModEnd>"
7,<S2SV_ModStart> if ( card -> qdio. in_q == NULL ) return ; <S2SV_ModEnd>,0,"<S2SV_ModStart> ; qeth_free_cq ( card ) ; if ( atomic_xchg ( & card -> qdio. state, QETH_QDIO_UNINITIALIZED ) == QETH_QDIO_UNINITIALIZED ) return ; <S2SV_ModEnd>"
8,<S2SV_ModStart> if ( card == NULL ) return ; <S2SV_ModEnd>,0,"<S2SV_ModStart> ; qeth_free_cq ( card ) ; if ( atomic_xchg ( & card -> qdio. state, QETH_QDIO_UNINITIALIZED ) == QETH_QDIO_UNINITIALIZED ) return ; <S2SV_ModEnd>"
9,<S2SV_ModStart> = { } <S2SV_ModEnd>,0,"<S2SV_ModStart> ; qeth_free_cq ( card ) ; if ( atomic_xchg ( & card -> qdio. state, QETH_QDIO_UNINITIALIZED ) == QETH_QDIO_UNINITIALIZED ) return ; <S2SV_ModEnd>"
10,<S2SV_ModStart> if (! stream ) goto fail ; <S2SV_ModEnd>,0,"<S2SV_ModStart> size_t used = 0 ; BYTE * pConcatenated = NULL ; wStream * stream = Stream_StaticConstInit ( & sbuffer, pSrcData, SrcSize ) ; WINPR_ASSERT ( zgfx ) ; WINPR_ASSERT ( stream ) ; WINPR_ASSERT ( ppDstData ) ; WINPR_ASSERT ( pDstSize ) ; * ppDstData = NULL ; * pDstSize = 0 ; if (! Stream_CheckAndLogRequiredLength ( TAG, stream, 1 ) ) goto fail ; Stream_Read_UINT8 ( stream, descriptor ) ; /* descriptor (1 byte) */ if ( descriptor == ZGFX_SEGMENTED_SINGLE ) { if (! zgfx_decompress_segment ( zgfx, stream, Stream_GetRemainingLength ( stream ) ) ) goto fail ; if ( zgfx -> OutputCount > 0 ) { if (! zgfx_append ( zgfx, & pConcatenated, zgfx -> OutputCount, & used ) ) goto fail ; if ( used!= zgfx -> OutputCount ) goto fail ; * ppDstData = pConcatenated ;"
11,<S2SV_ModStart> if ( stream == NULL ) goto fail ; <S2SV_ModEnd>,0,"<S2SV_ModStart> size_t used = 0 ; BYTE * pConcatenated = NULL ; wStream * stream = Stream_StaticConstInit ( & sbuffer, pSrcData, SrcSize ) ; WINPR_ASSERT ( zgfx ) ; WINPR_ASSERT ( stream ) ; WINPR_ASSERT ( ppDstData ) ; WINPR_ASSERT ( pDstSize ) ; * ppDstData = NULL ; * pDstSize = 0 ; if (! Stream_CheckAndLogRequiredLength ( TAG, stream, 1 ) ) goto fail ; Stream_Read_UINT8 ( stream, descriptor ) ; /* descriptor (1 byte) */ if ( descriptor == ZGFX_SEGMENTED_SINGLE ) { if (! zgfx_decompress_segment ( zgfx, stream, Stream_GetRemainingLength ( stream ) ) ) goto fail ; if ( zgfx -> OutputCount > 0 ) { if (! zgfx_append ( zgfx, & pConcatenated, zgfx -> OutputCount, & used ) ) goto fail ; if ( used!= zgfx -> OutputCount ) goto fail ; * ppDstData = pConcatenated ;"
